4.000,3.000,1.000000,-1.1589,0.3257,1377.3808,-386.8836
3.800,3.000,1.000000,-1.1846,0.3299,1438.7268,-400.5112
3.600,3.000,1.000000,-1.2088,0.3330,1498.1000,-412.5273
3.400,3.000,1.000000,-1.2372,0.3383,1568.7923,-428.8958
3.200,3.000,1.000000,-1.2650,0.3431,1640.0482,-444.6130
3.000,3.000,1.000000,-1.2930,0.3490,1713.4781,-462.2822
2.800,3.000,1.000000,-1.3282,0.3489,1807.7766,-474.6107
2.600,3.000,1.000000,-1.3605,0.3499,1896.5203,-487.5148
2.400,3.000,1.000000,-1.3985,0.3511,2003.7236,-502.7232
2.200,3.000,1.000000,-1.4375,0.3468,2117.2550,-510.4484
2.000,3.000,1.000000,-1.4828,0.3417,2252.4749,-518.6768
4.000,2.800,1.000000,-1.0725,0.3023,1179.8750,-332.4623
3.800,2.800,1.000000,-1.1007,0.3063,1242.3875,-345.5084
3.600,2.800,1.000000,-1.1333,0.3105,1317.0742,-360.6954
3.400,2.800,1.000000,-1.1575,0.3138,1373.7640,-372.2474
3.200,2.800,1.000000,-1.1827,0.3181,1433.8538,-385.3464
3.000,2.800,1.000000,-1.2129,0.3204,1507.9377,-398.0720
2.800,2.800,1.000000,-1.2613,0.3209,1630.4643,-414.5259
2.600,2.800,1.000000,-1.2934,0.3227,1714.2666,-427.4701
2.400,2.800,1.000000,-1.3397,0.3193,1839.1960,-438.0142
2.200,2.800,1.000000,-1.3843,0.3148,1963.2928,-446.1556
2.000,2.800,1.000000,-1.4394,0.3058,2122.6318,-450.4826
4.000,2.600,1.000000,-0.9984,0.2801,1022.4728,-286.5348
3.800,2.600,1.000000,-1.0301,0.2845,1088.5823,-300.3259
3.600,2.600,1.000000,-1.0525,0.2863,1136.1865,-308.8074
3.400,2.600,1.000000,-1.0855,0.2894,1208.3424,-321.9549
3.200,2.600,1.000000,-1.1161,0.2938,1277.4172,-335.8701
3.000,2.600,1.000000,-1.1539,0.2957,1365.0981,-349.4532
2.800,2.600,1.000000,-1.1979,0.2949,1471.2076,-361.7432
2.600,2.600,1.000000,-1.2310,0.2959,1553.2374,-372.8787
2.400,2.600,1.000000,-1.2812,0.2918,1682.3888,-382.7561
2.200,2.600,1.000000,-1.3384,0.2848,1835.9935,-390.0758
2.000,2.600,1.000000,-1.4018,0.2734,2013.9290,-392.1705
4.000,2.400,1.000000,-0.9347,0.2595,896.6160,-248.6523
3.800,2.400,1.000000,-0.9586,0.2617,942.9851,-257.1875
3.600,2.400,1.000000,-0.9910,0.2630,1007.7622,-267.0402
3.400,2.400,1.000000,-1.0187,0.2662,1064.4277,-277.7562
3.200,2.400,1.000000,-1.0553,0.2691,1142.1958,-290.8770
3.000,2.400,1.000000,-1.0962,0.2699,1232.2691,-302.9077
2.800,2.400,1.000000,-1.1396,0.2697,1331.5369,-314.6126
2.600,2.400,1.000000,-1.1831,0.2677,1435.0268,-324.1766
2.400,2.400,1.000000,-1.2461,0.2623,1592.0350,-334.4921
2.200,2.400,1.000000,-1.3081,0.2538,1754.1267,-339.6921
2.000,2.400,1.000000,-1.4061,0.2353,2026.4547,-338.4820
4.000,2.200,1.000000,-0.8731,0.2365,782.9201,-211.7623
3.800,2.200,1.000000,-0.8974,0.2375,826.7289,-218.4605
3.600,2.200,1.000000,-0.9292,0.2433,886.1009,-231.5988
3.400,2.200,1.000000,-0.9595,0.2442,944.8196,-240.0798
3.200,2.200,1.000000,-0.9957,0.2452,1017.2207,-250.0342
3.000,2.200,1.000000,-1.0394,0.2471,1108.3636,-262.9316
